Iteration;Input;Order;
6540000;1.6;1189.09;
6550000;2.3;1199.56;
6560000;2.6;1276.75;
6570000;1.9;1228.2;
6580000;2.6;1263.18;
6590000;1.6;1231.04;
6600000;1.8;1221.93;
6610000;41.2;1214.9;
6620000;3.2;1213.12;
6630000;2.9;1206.35;
6640000;2.4;1283.41;
6650000;1.5;1217.75;
6660000;3.5;1221.3;
6670000;2;1207.22;
6680000;2.4;1219.32;
6690000;4;1248.66;
6700000;2.5;1289.17;
6710000;2.7;1279.02;
6720000;1.8;1238.81;
6730000;1.9;1234.24;
6740000;1.4;1229.75;
6750000;2.3;1261.58;
6760000;3;1214.65;
6770000;1.8;1232.9;
6780000;2.2;1233.58;
6790000;2.5;1236.55;
6800000;2.1;1468.7;
6810000;1.9;1402.16;
6820000;5.4;1480.91;
6830000;1.7;1601.98;
6840000;2.6;1393.19;
6850000;2.4;1524.49;
6860000;3.8;1353.23;
6870000;2.1;1391.16;
6880000;2.1;1332.8;
6890000;3.4;1393.24;
6900000;2.8;1512.71;
6910000;2.3;1514.35;
6920000;3.6;1550.23;
6930000;2.4;1439.28;
6940000;2.3;1372.89;
6950000;2.2;1344.04;
6960000;2.8;1343.92;
6970000;1.9;1367.94;
6980000;2;1380.67;
6990000;2;1352.94;
7000000;2.2;1376.16;
7010000;1.7;1380.13;
7020000;3.1;1347.14;
7030000;1.6;1406.34;
7040000;2.5;1388.81;
7050000;2.2;1430.65;
7060000;1.9;1376.8;
7070000;1.8;1428.11;
7080000;2.1;1438.78;
7090000;2.3;1516.11;
7100000;1.6;1363.68;
7110000;2.3;1393.57;
7120000;12.5;1375.2;
7130000;4.4;1375.84;
7140000;3;1390.8;
7150000;2;1419.69;
7160000;2.8;1450.34;
7170000;1.5;1382.91;
7180000;1.8;1399.64;
7190000;1.9;1386.62;
7200000;1.7;1391.88;
7210000;2;1423.03;
7220000;1.8;1426.57;
7230000;2.2;1414.78;
7240000;2.1;1394.55;
7250000;2.3;1414.35;
7260000;2.5;1428.6;
7270000;3.4;1467.19;
7280000;2.2;1497.47;
7290000;2.3;1598.73;
7300000;1.8;1412.57;
7310000;2.4;1454.9;
7320000;2.4;1437.15;
7330000;2.3;1545.2;
7340000;2.6;1437.09;
7350000;2.6;1467.38;
7360000;1.8;1558.25;
7370000;4.8;1556.97;
7380000;2.4;1451.71;
7390000;1.9;1460.69;
7400000;10.3;1430;
7410000;1.6;1473.9;
7420000;2.6;1478.15;
7430000;3.5;1476.71;
7440000;4.1;1444.6;
7450000;2;1564.17;
7460000;1.7;1468.59;
7470000;2.7;1561.77;
7480000;5.2;1539.16;
7490000;2.3;1483.49;
7500000;2.6;1438.63;
7510000;2;1494.35;
7520000;1.7;1452.66;
7530000;3.2;1510.46;
7540000;3.2;1500.72;
7550000;3.1;1457.5;
7560000;1.8;1488.44;
7570000;1.2;1507.03;
7580000;2.3;1542.4;
7590000;3.4;1446.16;
7600000;2.8;1449.75;
7610000;1.4;1448.91;
7620000;2.1;1459.49;
7630000;1.7;1528.53;
7640000;1.8;1464.79;
7650000;2.5;1498.66;
7660000;1.3;1480.24;
7670000;2;1538.29;
7680000;1.2;1479.6;
7690000;2.7;1562.21;
7700000;1.9;1555.55;
7710000;2.2;1484.64;
7720000;1.8;1486.74;
7730000;2.1;1491.49;
7740000;2.5;1518.17;
7750000;2;1509.34;
7760000;1.5;1486.64;
7770000;1.3;1543.21;
7780000;2.5;1526.34;
7790000;2.7;1631.97;
7800000;2.6;1530.24;
7810000;2.4;1560.28;
7820000;3.3;1638.26;
7830000;2;1561.55;
7840000;2.8;1887.79;
7850000;2.5;1757.06;
7860000;3.3;1978.15;
7870000;2;1947.76;
7880000;1.7;1531.46;
7890000;3.2;1475.08;
7900000;2.8;1533.97;
7910000;3.3;1471.85;
7920000;12;1623.64;
7930000;2.6;1553.6;
7940000;1.3;1527;
7950000;1.4;1439.85;
7960000;2;1516.71;
7970000;1.9;1447.79;
7980000;1.7;1501.46;
7990000;2.9;1603.81;
8000000;2;1510.54;
8010000;2.1;1512.29;
8020000;1.9;1519.09;
8030000;2.2;1517.73;
8040000;3.1;1506.1;
8050000;1.6;1458.74;
8060000;1.8;1522.86;
8070000;3.5;1612.97;
8080000;2.4;1674.79;
8090000;2.5;1746.2;
8100000;6.9;1554.09;
8110000;2.7;1479.79;
8120000;1.7;1471.09;
8130000;1.8;1506.07;
8140000;1.5;1539.7;
8150000;3.3;1539.28;
8160000;2;1559.52;
8170000;2.6;1473.65;
8180000;2.6;1464.59;
8190000;1.5;1547.78;
8200000;1.9;1524.49;
8210000;2.2;1476.39;
8220000;3;1478.51;
8230000;1.7;1482.19;
8240000;1.5;1479.61;
8250000;2.1;1531.66;
8260000;2;1490.89;
8270000;3.1;1679.21;
8280000;2;1560.35;
8290000;2.2;1705.79;
8300000;1.8;1630.12;
8310000;2.2;1650.3;
8320000;5.1;1606.09;
8330000;2.7;1505.86;
8340000;3.4;1584.59;
8350000;2.4;1647.38;
8360000;2.1;1688.8;
8370000;2.1;1835.26;
8380000;2.3;2053.67;
8390000;3.3;2141.04;
8400000;1.6;1840.76;
8410000;2.5;1751.18;
8420000;2.5;1706.34;
8430000;3;1705.06;
8440000;2.5;1755.85;
8450000;2.4;1695.9;
8460000;2.3;1725.48;
8470000;2.7;1794.36;
8480000;2.7;1700.82;
8490000;1.4;1633.38;
8500000;1.9;1679.86;
8510000;3.2;1651.31;
8520000;3.3;1678.18;
8530000;1.7;1727.86;
8540000;2.3;1637.23;
8550000;2.9;1687.76;
8560000;2.5;1709.51;
8570000;2.5;1723.07;
8580000;2.5;1696.49;
8590000;1.6;1668.73;
8600000;1.8;1663.75;
8610000;2.2;1651.79;
8620000;2.7;1678;
8630000;2.3;1688.37;
8640000;1.8;1660.19;
8650000;4.6;1723.37;
8660000;2.2;1743.44;
8670000;1.7;1682;
8680000;3;1677.75;
8690000;2.4;1692.54;
8700000;3.5;1691.27;
8710000;1.7;1690.07;
8720000;2.2;1680.16;
8730000;1.3;1682.8;
8740000;1.9;1682.48;
8750000;2.4;1751.76;
8760000;1.8;1684.8;
8770000;2.7;1723.33;
8780000;1.9;1703.88;
8790000;2.4;1716.89;
8800000;1.6;1709.5;
8810000;1.9;1751.68;
8820000;1.4;1716.63;
8830000;2.2;1810.12;
8840000;2.5;1950.4;
8850000;2.5;1846.84;
8860000;2.2;1722.98;
8870000;2.1;1736.35;
8880000;2.5;1735.54;
8890000;1.9;1745.43;
8900000;2.4;1727.19;
8910000;2.5;1758.22;
8920000;2.2;1712.8;
8930000;3;1835.79;
8940000;2.1;1718.39;
8950000;4.4;1790.58;
8960000;2.2;1756.66;
8970000;2;1721.49;
8980000;5.5;1842.41;
8990000;3;1785.46;
9000000;2.5;1732.3;
9010000;2.6;1750.42;
9020000;2.1;1855.5;
9030000;2.8;1731.19;
9040000;3.1;1810.65;
9050000;2.7;1765.52;
9060000;1.8;1768.5;
9070000;5.9;1790.04;
9080000;1.5;1786.07;
9090000;2.5;1733.53;
9100000;2.6;1795.19;
9110000;3.4;1874.13;
9120000;2;1770.62;
9130000;1.6;1805.6;
9140000;2.3;1766.62;
9150000;2.4;1799.23;
9160000;12.3;1758.55;
9170000;1.7;1817.11;
9180000;1.8;1811.16;
9190000;1.7;1833.64;
9200000;1.7;1837.93;
9210000;1.9;1798.95;
9220000;2.7;1826.65;
9230000;3.2;1826.6;
9240000;5.1;1816.4;
9250000;2.2;1872.61;
9260000;1.8;1870.87;
9270000;2.1;1806.91;
9280000;1.8;1927.65;
9290000;2.2;1775.23;
9300000;2.2;1846.37;
9310000;3.1;1797.16;
9320000;2.8;1796.49;
9330000;1.8;1802.23;
9340000;2;1860.93;
9350000;2.2;1828.01;
9360000;3.1;1811.86;
9370000;2.7;1933.88;
9380000;1.9;1840.21;
9390000;1.7;1837.41;
9400000;1.7;1883.19;
9410000;2.4;1831;
9420000;2.5;1849.68;
9430000;2.1;1835.76;
9440000;1.9;1932.74;
9450000;2.7;1905.87;
9460000;1.6;1816.34;
9470000;2.3;1826.24;
9480000;2.1;1906.53;
9490000;1.6;1885.3;
9500000;3;1863.17;
9510000;2.3;1843.66;
9520000;2.3;1898.82;
9530000;1.7;1880.69;
9540000;2;1889.52;
9550000;1.9;1887.82;
9560000;2;1871.31;
9570000;3;1894.27;
9580000;2.6;1866.97;
9590000;1.6;1883.18;
9600000;3.4;1890.19;
9610000;1.8;1937.25;
9620000;2.1;1978.14;
9630000;2.4;1883.96;
9640000;1.7;1946.81;
9650000;2;1874.91;
9660000;2.4;1890.16;
9670000;1.5;1868.47;
9680000;2.4;1932.86;
9690000;2.4;1884.5;
9700000;2.9;1957.27;
9710000;3.5;1900.37;
9720000;2.7;1871.7;
9730000;1.9;1920.88;
9740000;2.2;1912.61;
9750000;2.2;1922;
9760000;2.5;1877.75;
9770000;2;1872.48;
9780000;3.6;2020.82;
9790000;1.7;1900.3;
9800000;1.8;1900.84;
9810000;3.2;1915.59;
9820000;2.2;1945.24;
9830000;1.6;1932.04;
9840000;2.7;1914.33;
9850000;2;2013.94;
9860000;2.2;1953.75;
9870000;2.5;1949.94;
9880000;1.6;1923.21;
9890000;3.9;1957.88;
9900000;4.4;1938.62;
9910000;1.9;1910.22;
9920000;2.6;1932.57;
9930000;3.3;1950.51;
9940000;14.2;1967.41;
9950000;2.1;2005.63;
9960000;2.4;1933.07;
9970000;2.2;1938.86;
9980000;8.8;1952.07;
9990000;2.3;1930.25;
